"N° Dossier","Client","Chantier","N° Devis","Client - Chantier"
"102163","Centre Aquatique P. Loisel","Fournitures","32918","Centre Aquatique P. Loisel - Fournitures"
"102165","Geteo","FOF - Dépannage","32930","Geteo - FOF - Dépannage"
"102166","Potel et Chabot","Vendôme - Dépannage EC BOS","32937","Potel et Chabot - Vendôme - Dépannage EC BOS"
"102167","Covea","Fourniture","32938","Covea - Fourniture"
"102168","Covea","Entretien climatisation de Parties Privatives","32924.","Covea - Entretien climatisation de Parties Privatives"
"102169","Covea","Audit","32924..","Covea - Audit"
"102170","IDFC","Hotel  Tribe - Fourniture","32939","IDFC - Hotel  Tribe - Fourniture"
"102171","DP BAT","P17","32934","DP BAT - P17"
"102172","MICHON","CTA CDG","32763","MICHON - CTA CDG"
"102173","RCE","PNEI","32931","RCE - PNEI"
"102174","COVEA","Mise en service et test télécommandes","32924A","COVEA - Mise en service et test télécommandes"
"102175","Engie Solutions","Université Champs s/Marne","32919","Engie Solutions - Université Champs s/Marne"
"102176","Engie Solutions","ADN ","32755","Engie Solutions - ADN "
"102177","Engie Solutions","ADN - Armoire ventilation","32896","Engie Solutions - ADN - Armoire ventilation"
"102178","Geteo","Richelileu - Dépannage","32838","Geteo - Richelileu - Dépannage"
"102179","Covea","Covea Montparnasse  - R+2 GTB","32835","Covea - Covea Montparnasse  - R+2 GTB"
"102180","Aurion","Esiee","32950","Aurion - Esiee"
"102181","Cap Horn Santé","Dépannage + ajout compteurs","32944","Cap Horn Santé - Dépannage + ajout compteurs"
"102182","Axima","Migration licence GS Les Groues","32608","Axima - Migration licence GS Les Groues"
"102183","Axima","Sondes suppl. GS Les Groues","32576","Axima - Sondes suppl. GS Les Groues"
"102184","Razel Bec","Gare KBH/C3C - Sécurisation GF","32917","Razel Bec - Gare KBH/C3C - Sécurisation GF"
"102185","Razel Bec","Gare KBH - Fourniture armoire PR","32859B","Razel Bec - Gare KBH - Fourniture armoire PR"
"102186","Agec","Carrefour Mondeville DSC","32731A","Agec - Carrefour Mondeville DSC"
"102187","Dalkia","Lycée Jean-Jaurès","32807D","Dalkia - Lycée Jean-Jaurès"
